[loci]= 100 

[populations]= 3 

[pop]= 1 
1 30 30 
2 30 18 
3 30 30 
4 30 27 
5 30 20 
6 30 3 
7 30 25 
8 30 0 
9 30 30 
10 30 29 
11 30 30 
12 30 1 
13 30 30 
14 30 30 
15 30 14 
16 30 17 
17 30 17 
18 30 4 
19 30 30 
20 30 30 
21 30 30 
22 30 30 
23 30 30 
24 30 24 
25 30 30 
26 30 30 
27 30 28 
28 30 4 
29 30 22 
30 30 11 
31 30 30 
32 30 21 
33 30 21 
34 30 30 
35 30 30 
36 30 30 
37 30 25 
38 30 12 
39 30 30 
40 30 30 
41 30 30 
42 30 20 
43 30 30 
44 30 28 
45 30 29 
46 30 18 
47 30 30 
48 30 22 
49 30 30 
50 30 14 
51 30 30 
52 30 30 
53 30 30 
54 30 11 
55 30 18 
56 30 30 
57 30 30 
58 30 16 
59 30 1 
60 30 13 
61 30 29 
62 30 23 
63 30 15 
64 30 29 
65 30 16 
66 30 30 
67 30 23 
68 30 18 
69 30 28 
70 30 30 
71 30 30 
72 30 9 
73 30 28 
74 30 28 
75 30 21 
76 30 18 
77 30 29 
78 30 0 
79 30 30 
80 30 28 
81 30 30 
82 30 30 
83 30 30 
84 30 21 
85 30 28 
86 30 30 
87 30 30 
88 30 24 
89 30 30 
90 30 17 
91 30 15 
92 30 3 
93 30 29 
94 30 30 
95 30 25 
96 30 27 
97 30 23 
98 30 30 
99 30 30 
100 30 30 

[pop]= 2 
1 100 99 
2 100 64 
3 100 35 
4 100 100 
5 100 34 
6 100 9 
7 100 93 
8 100 1 
9 100 34 
10 100 100 
11 100 100 
12 100 6 
13 100 79 
14 100 85 
15 100 9 
16 100 12 
17 100 18 
18 100 8 
19 100 13 
20 100 64 
21 100 100 
22 100 21 
23 100 77 
24 100 87 
25 100 100 
26 100 97 
27 100 37 
28 100 1 
29 100 84 
30 100 43 
31 100 79 
32 100 96 
33 100 97 
34 100 75 
35 100 5 
36 100 90 
37 100 94 
38 100 11 
39 100 20 
40 100 99 
41 100 98 
42 100 43 
43 100 91 
44 100 5 
45 100 41 
46 100 50 
47 100 100 
48 100 92 
49 100 100 
50 100 19 
51 100 81 
52 100 0 
53 100 75 
54 100 17 
55 100 73 
56 100 99 
57 100 49 
58 100 55 
59 100 0 
60 100 29 
61 100 99 
62 100 21 
63 100 47 
64 100 98 
65 100 72 
66 100 68 
67 100 99 
68 100 84 
69 100 3 
70 100 100 
71 100 32 
72 100 53 
73 100 6 
74 100 97 
75 100 37 
76 100 48 
77 100 98 
78 100 4 
79 100 2 
80 100 14 
81 100 0 
82 100 23 
83 100 99 
84 100 97 
85 100 99 
86 100 69 
87 100 100 
88 100 64 
89 100 100 
90 100 0 
91 100 10 
92 100 0 
93 100 99 
94 100 100 
95 100 0 
96 100 99 
97 100 93 
98 100 93 
99 100 94 
100 100 89 

[pop]= 3 
1 100 100 
2 100 36 
3 100 100 
4 100 15 
5 100 68 
6 100 0 
7 100 30 
8 100 5 
9 100 96 
10 100 73 
11 100 100 
12 100 3 
13 100 66 
14 100 100 
15 100 56 
16 100 75 
17 100 51 
18 100 13 
19 100 100 
20 100 100 
21 100 100 
22 100 100 
23 100 73 
24 100 85 
25 100 91 
26 100 96 
27 100 98 
28 100 16 
29 100 44 
30 100 3 
31 100 100 
32 100 0 
33 100 24 
34 100 100 
35 100 100 
36 100 99 
37 100 62 
38 100 50 
39 100 99 
40 100 98 
41 100 100 
42 100 80 
43 100 100 
44 100 99 
45 100 98 
46 100 52 
47 100 100 
48 100 0 
49 100 100 
50 100 72 
51 100 100 
52 100 100 
53 100 43 
54 100 40 
55 100 31 
56 100 61 
57 100 13 
58 100 61 
59 100 11 
60 100 35 
61 100 54 
62 100 94 
63 100 54 
64 100 96 
65 100 10 
66 100 100 
67 100 5 
68 100 6 
69 100 100 
70 100 21 
71 100 26 
72 100 4 
73 100 99 
74 100 98 
75 100 85 
76 100 50 
77 100 85 
78 100 12 
79 100 53 
80 100 97 
81 100 99 
82 100 79 
83 100 100 
84 100 19 
85 100 55 
86 100 73 
87 100 98 
88 100 85 
89 100 100 
90 100 76 
91 100 77 
92 100 21 
93 100 98 
94 100 67 
95 100 98 
96 100 77 
97 100 11 
98 100 51 
99 100 100 
100 100 97 

